Account,newDate,kWh,Month,Day,Year,Hour,DayOfWeek,Weekday,PeakHour,temp
999999999,2014-01-01,78.405,1,1,2014,0,2,1,0,23.0
999999999,2014-01-01,76.425,1,1,2014,1,2,1,0,21.9
999999999,2014-01-01,78.015,1,1,2014,2,2,1,0,21.9
999999999,2014-01-01,78.12,1,1,2014,3,2,1,0,21.9
999999999,2014-01-01,77.535,1,1,2014,4,2,1,0,21.0
999999999,2014-01-01,104.099999,1,1,2014,5,2,1,0,21.0
999999999,2014-01-01,158.264998,1,1,2014,6,2,1,0,21.0
999999999,2014-01-01,249.16499499999998,1,1,2014,7,2,1,1,19.9
999999999,2014-01-01,240.524994,1,1,2014,8,2,1,1,23.0
999999999,2014-01-01,224.06999399999998,1,1,2014,9,2,1,1,24.1
999999999,2014-01-01,223.39499300000003,1,1,2014,10,2,1,1,26.1
999999999,2014-01-01,215.03999600000003,1,1,2014,11,2,1,1,26.1
999999999,2014-01-01,210.67499999999998,1,1,2014,12,2,1,1,27.0
999999999,2014-01-01,196.049998,1,1,2014,13,2,1,1,28.0
999999999,2014-01-01,196.559993,1,1,2014,14,2,1,1,27.0
999999999,2014-01-01,151.829996,1,1,2014,15,2,1,1,27.0
999999999,2014-01-01,103.73999800000001,1,1,2014,16,2,1,1,26.1
999999999,2014-01-01,99.58499900000001,1,1,2014,17,2,1,1,25.0
999999999,2014-01-01,97.58999800000001,1,1,2014,18,2,1,1,24.1
999999999,2014-01-01,91.47,1,1,2014,19,2,1,1,24.1
999999999,2014-01-01,93.60000000000001,1,1,2014,20,2,1,0,23.0
999999999,2014-01-01,79.35,1,1,2014,21,2,1,0,21.9
999999999,2014-01-01,76.44,1,1,2014,22,2,1,0,23.0
999999999,2014-01-01,78.97500000000001,1,1,2014,23,2,1,0,23.0
999999999,2014-01-02,78.66,1,2,2014,0,3,1,0,21.0
999999999,2014-01-02,77.385,1,2,2014,1,3,1,0,19.9
999999999,2014-01-02,79.485,1,2,2014,2,3,1,0,19.0
999999999,2014-01-02,83.68499999999999,1,2,2014,3,3,1,0,19.0
999999999,2014-01-02,162.19499899999997,1,2,2014,4,3,1,0,19.0
999999999,2014-01-02,170.47499699999997,1,2,2014,5,3,1,0,19.0
999999999,2014-01-02,205.87499699999998,1,2,2014,6,3,1,0,19.4
999999999,2014-01-02,264.04499699999997,1,2,2014,7,3,1,1,19.0
999999999,2014-01-02,263.534995,1,2,2014,8,3,1,1,19.9
999999999,2014-01-02,269.009995,1,2,2014,9,3,1,1,24.1
